Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Lola,Cockapoo,POINT (-71.1045 42.3745),42.37450,-71.10450,Mid-Cambridge
Marty Segel,Labradoodle,POINT (-71.1359 42.3802),42.38020,-71.13590,West Cambridge
Doki,Shi Tzu,POINT (-71.1329 42.3936),42.39360,-71.13290,North Cambridge
Chance,Poodle,POINT (-71.1101 42.3773),42.37730,-71.11010,Mid-Cambridge
Bee Gee,Mixed Breed,POINT (-71.1387 42.3836),42.38360,-71.13870,West Cambridge
BOOMER,Labradoddle,POINT (-71.1365 42.3805),42.38050,-71.13650,West Cambridge
MOLLY,POMERANIAN,POINT (-71.1339 42.3989),42.39890,-71.13390,North Cambridge
Toph,Mixed Breed,POINT (-71.1161 42.377),42.37700,-71.11610,Mid-Cambridge
Wendy,Mixed Breed,POINT (-71.1122 42.3831),42.38310,-71.11220,Baldwin
Mabel,Mixed Breed,POINT (-71.1216 42.3948),42.39480,-71.12160,North Cambridge
Hudson,Golden Retriever,POINT (-71.1343 42.3813),42.38130,-71.13430,West Cambridge
CHARLIE,Labrador / Hound X,POINT (-71.1116 42.3566),42.35660,-71.11160,Cambridgeport
Skip,Australian Cattle Dog,POINT (-71.1082 42.3662),42.36620,-71.10820,Riverside
Obi Witkin Harrison,Miniature Schnauzer,POINT (-71.1024 42.3588),42.35880,-71.10240,Cambridgeport
SAILOR,Italian Greyhound,POINT (-71.1101 42.3783),42.37830,-71.11010,Mid-Cambridge
Noah,Mixed Breed,POINT (-71.1548 42.3788),42.37880,-71.15480,Strawberry Hill
RUFUS,Cavalier King Charles Spaniel,POINT (-71.1425 42.3795),42.37950,-71.14250,West Cambridge
Charlie,lab retriever,POINT (-71.1339 42.3817),42.38170,-71.13390,West Cambridge
Red,Beagle,POINT (-71.1353 42.3988),42.39880,-71.13530,North Cambridge
Mango Chutney,Cavalier King Charles Spaniel,POINT (-71.1405 42.3886),42.38860,-71.14050,Neighborhood Nine
legion,Golden Retriever,POINT (-71.1372 42.3808),42.38080,-71.13720,West Cambridge
TONKA,Boxer Mix,POINT (-71.1084 42.378),42.37800,-71.10840,Mid-Cambridge
Luna,Mixed Breed,POINT (-71.1465 42.3966),42.39660,-71.14650,North Cambridge
Winston,Goldendoodle,POINT (-71.0797 42.3688),42.36880,-71.07970,East Cambridge
Maccabee,Poodle,POINT (-71.0914 42.3702),42.37020,-71.09140,Wellington-Harrington
Charlie,Golden Retriever,POINT (-71.1434 42.3789),42.37890,-71.14340,West Cambridge
Mack,Mixed Breed,POINT (-71.1078 42.3762),42.37620,-71.10780,Mid-Cambridge
Emi,Mixed Breed,POINT (-71.1233 42.3815),42.38150,-71.12330,Neighborhood Nine
Scout,Whippet,POINT (-71.112 42.3602),42.36020,-71.11200,Cambridgeport
TATANKA,Toy Poodle,POINT (-71.1302 42.3849),42.38490,-71.13020,Neighborhood Nine
Austin,American Staffordshire Terrier,POINT (-71.1366 42.3852),42.38520,-71.13660,Neighborhood Nine
Belle,Shitzu,POINT (-71.0701 42.3711),42.37110,-71.07010,East Cambridge
Nikki,Cocker Spaniel,POINT (-71.1066 42.3654),42.36540,-71.10660,Riverside
Daisy,Shih Tzu,POINT (-71.0763 42.373),42.37300,-71.07630,East Cambridge
BONNIE,Cockerpoo,POINT (-71.1308 42.396),42.39600,-71.13080,North Cambridge
Berkeley,Mixed Breed,POINT (-71.1435 42.3817),42.38170,-71.14350,West Cambridge
Mari,Border Collie,POINT (-71.1081 42.3678),42.36780,-71.10810,Riverside
Lydia,Bernedoodle,POINT (-71.0927 42.3707),42.37070,-71.09270,Wellington-Harrington
Bean,Mixed Breed,POINT (-71.085 42.3652),42.36520,-71.08500,East Cambridge
Burtie,Welsh Terrier,POINT (-71.139 42.375),42.37500,-71.13900,West Cambridge
Sonny,Jack Russell Terrier,POINT (-71.114 42.3598),42.35980,-71.11400,Cambridgeport
Charlie,Mixed Breed,POINT (-71.1166 42.3849),42.38490,-71.11660,Baldwin
Fezzy,Alaskan Klee Kai,POINT (-71.0773 42.3698),42.36980,-71.07730,East Cambridge
Lucy,Mutt,POINT (-71.15 42.4008),42.40080,-71.15000,North Cambridge
Augustus 'Auggie',Golden  Retriever,POINT (-71.1354 42.386),42.38600,-71.13540,Neighborhood Nine
EMMA,Boxer,POINT (-71.1096 42.3561),42.35610,-71.10960,Cambridgeport
Bill,Mixed Breed,POINT (-71.1077 42.3593),42.35930,-71.10770,Cambridgeport
Sawyer,Cavalier King Charles Spaniel,POINT (-71.1228 42.3856),42.38560,-71.12280,Neighborhood Nine
ZUKO,Pomeranian,POINT (-71.1338 42.3964),42.39640,-71.13380,North Cambridge
Miss Pippa of Cambridge,Fox Terrier,POINT (-71.1238 42.378),42.37800,-71.12380,Neighborhood Nine
Buddy,Mixed Breed,POINT (-71.1268 42.382),42.38200,-71.12680,Neighborhood Nine
Peaches,LABRADOR RETRIEVER,POINT (-71.13 42.3757),42.37570,-71.13000,West Cambridge
Storm,Mixed Breed,POINT (-71.0797 42.3677),42.36770,-71.07970,East Cambridge
Olive,Mixed Breed,POINT (-71.1183 42.3874),42.38740,-71.11830,Baldwin
Czarina,Mixed Breed,POINT (-71.1257 42.3828),42.38280,-71.12570,Neighborhood Nine
Julius,Golden Retriever,POINT (-71.1362 42.3877),42.38770,-71.13620,Neighborhood Nine
Penelope,Labrador Retriever,POINT (-71.132 42.378),42.37800,-71.13200,West Cambridge
Barley Smalls,Samoyed,POINT (-71.0951 42.3661),42.36610,-71.09510,The Port
Teddy,Chihuahu Mix,POINT (-71.1122 42.371),42.37100,-71.11220,Riverside
Charcoal,Pomeranian,POINT (-71.1215 42.3796),42.37960,-71.12150,Neighborhood Nine
Thor,Boxer,POINT (-71.0849 42.364),42.36400,-71.08490,East Cambridge
Leo,Labrador Retriever,POINT (-71.1123 42.3631),42.36310,-71.11230,Cambridgeport
Lux,Mixed Breed,POINT (-71.1305 42.4029),42.40290,-71.13050,North Cambridge
BRIDGET,Chihuahua X,POINT (-71.1043 42.3646),42.36460,-71.10430,Cambridgeport
Lucille,Mixed Breed,POINT (-71.1027 42.3704),42.37040,-71.10270,Mid-Cambridge
Tessa,Mixed Breed,POINT (-71.1234 42.3914),42.39140,-71.12340,North Cambridge
Rory,Goldendoodle,POINT (-71.1217 42.3799),42.37990,-71.12170,Neighborhood Nine
Koda,Bernedoodle,POINT (-71.1112 42.3694),42.36940,-71.11120,Riverside
Arya,Samoyed,POINT (-71.0803 42.3699),42.36990,-71.08030,East Cambridge
Dharma,Jack Russell Terrier,POINT (-71.0932 42.3681),42.36810,-71.09320,The Port
Flint,English Cocker Spaniel,POINT (-71.136 42.3798),42.37980,-71.13600,West Cambridge
Baxter,Beagle,POINT (-71.1434 42.3882),42.38820,-71.14340,Cambridge Highlands
Midna,Mixed Breed,POINT (-71.132 42.3969),42.39690,-71.13200,North Cambridge
Fia,American Staffordshire Terrier,POINT (-71.1016 42.3639),42.36390,-71.10160,Cambridgeport
Nellie,French Bulldog,POINT (-71.0838 42.3657),42.36570,-71.08380,East Cambridge
